property_ID,locality_name,postal_code,price,type_of_property,subtype_of_property,type_of_sale,nr_or_rooms,living_area,equiped_kitchen,furnished,open_fire,terrace,garden,nr_of_facades,swimming_pool,state_of_building
1838035,De Panne,8660.0,52934.0,house,appartement,Vaste prijs,1.0,50.0,1.0,1.0,,,,4.0,1.0,
1838036,De Panne,8660.0,51000.0,house,appartement,Vaste prijs,1.0,50.0,1.0,1.0,,,,4.0,1.0,
1838641,De Panne,8660.0,73000.0,house,appartement,Vaste prijs,1.0,,,,,,,,,Uitstekende staat
1838642,De Panne,8660.0,69000.0,house,appartement,Vaste prijs,1.0,,,,,,,,,Goed
1839112,De Panne,8660.0,57000.0,house,appartement,Vaste prijs,1.0,,1.0,,,,,4.0,1.0,Uitstekende staat
1839193,De Panne,8660.0,93218.0,house,appartement,Vaste prijs,1.0,,1.0,,,,,,,Uitstekende staat
1840625,De Panne,8660.0,285000.0,house,appartement,Vaste prijs,3.0,,1.0,1.0,1.0,,,4.0,,Goed
1840646,De Panne,8660.0,285000.0,house,huis,Vaste prijs,3.0,,1.0,1.0,1.0,,,4.0,,Goed
1840818,De Panne,8660.0,73000.0,house,huis,Vaste prijs,1.0,,,,,,,,,Goed
1882546,Bredene,8450.0,148000.0,house,huis,Vaste prijs,2.0,55.0,1.0,0.0,,10.0,110.0,4.0,0.0,Uitstekende staat
2070520,Brasschaat,2930.0,,house,huis,Vaste prijs,4.0,650.0,,0.0,,,,4.0,0.0,Goed
2083530,Halle,1500.0,725000.0,house,huis,Vaste prijs,7.0,,,0.0,,,,,1.0,
2573581,Geel,2440.0,,house,appartement,Vaste prijs,,,,1.0,,,,,,
2573644,Geel,2440.0,,house,appartement,Vaste prijs,2.0,111.0,,,,,,,,
2784938,Bredene,8450.0,108000.0,house,huis,Vaste prijs,2.0,51.0,1.0,0.0,,,120.0,4.0,,Uitstekende staat
3303247,Brasschaat,2930.0,,house,huis,Vaste prijs,5.0,620.0,,0.0,,,,4.0,0.0,
3622649,Ingelmunster,8770.0,,house,huis,Vaste prijs,4.0,306.0,,1.0,,,,,,Goed
3779703,Erembodegem,9320.0,,house,huis,Vaste prijs,5.0,290.0,1.0,,,,,4.0,,Uitstekende staat
3829592,Bruxelles ville,1000.0,,house,appartement,Vaste prijs,3.0,150.0,0.0,0.0,,,70.0,,,Net gerenoveerd
3841346,Knokke,8300.0,,house,appartement,Vaste prijs,3.0,100.0,,0.0,,,,2.0,0.0,Goed
3841347,Knokke,8300.0,,house,appartement,Vaste prijs,3.0,135.0,,0.0,,,,2.0,0.0,Goed
3903180,Brasschaat,2930.0,,house,huis,Vaste prijs,4.0,480.0,,0.0,,,,4.0,,Goed
3947116,Brasschaat,2930.0,,house,huis,Vaste prijs,5.0,430.0,1.0,0.0,1.0,,2622.0,4.0,,Goed
3956676,Ingelmunster,8770.0,,house,huis,Vaste prijs,3.0,165.0,,,,,,,,
4079236,De Haan,8420.0,,house,appartement,Vaste prijs,2.0,82.0,,0.0,,,,,,Goed
4089845,Ingelmunster,8770.0,,house,huis,Vaste prijs,2.0,160.0,,,,,,,,Op te frissen
4132492,BORGERHOUT,2140.0,210000.0,house,appartement,Vaste prijs,1.0,,0.0,,,,,1.0,,Op te frissen
4183567,Oostende,8400.0,,house,appartement,Vaste prijs,3.0,,,0.0,,,,2.0,0.0,Goed
4329019,Brasschaat,2930.0,,house,huis,Vaste prijs,4.0,550.0,,0.0,,,,,,Goed
4503569,Erembodegem,9320.0,,house,huis,Vaste prijs,4.0,200.0,1.0,,1.0,,,4.0,,Uitstekende staat
